Product,Title,Status,Level,Persona,Details
Move It,Get Started with MOVEit Transfer Administration,Done,Beginner,Administrator," "
Move It,Get Started with MOVEit Automation Administration,In Process,Intermediate,Administrator," "
Move It,Get Started with MOVEit Transfer,Planned,Beginner,Administrator," "
Move It,MOVEit Troubleshooting course,Planned,Beginner,Administrator," "
Move It,Get Started with MOVEit Transfer Advanced,Planned,Intermediate,Administrator," "
WhatsUp Gold,Partner Support Certification: WhatsUp Gold Troubleshooting,Done,Beginner,Administrator," "
WhatsUp Gold,Get Started with WhatsUp Gold Administration,Done,Beginner,Administrator," "
WhatsUp Gold,Intermediate WhatsUp Gold Administration,In Process,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Virtual Monitoring,In Process,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Log Management,Planned,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Application Monitoring,Planned,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Network Traffic Analysis,Planned,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Cloud Monitoring,Planned,Intermediate,Administrator," "
WhatsUp Gold,Learn WhatsUp Gold Configuration Management,Planned,Intermediate,Administrator," "
WhatsUp Gold,Get Started with WhatsUp Gold Report Viewing,Planned,Beginner,Other," "
Sitefinity,Create and Manage Content in Progress Sitefinity,Done,Beginner,Developer," "
Sitefinity,Foundations of Sitefinity development DX14,Done,Intermediate,Developer," "
Sitefinity,Advanced Sitefinity development,Planned,Advanced,Developer," "
Sitefinity,Administer a Progress Sitefinity Environment,In Process,Beginner,Administrator," "
Sitefinity,Introduction to Sitefinity,Done,Beginner,Developer," "
Sitefinity,Install and Configure Sitefinity,Done,Beginner,Administrator," "
Sitefinity,Analytics with Sitefinity Insight,Planned,Intermediate,Other," "
Sitefinity,Personalization and Digital Marketing in Sitefinity,Planned,Intermediate,Other," "
Sitefinity,Design a Sitefinity Site,Planned,Intermediate,Developer," "
OpenEdge,Basic OpenEdge Developer Learning Path,Done,Beginner,Developer,"This learning path includes the following courses: <br>Introduction to Progress OpenEdge<br>Introduction to Progress OpenEdge Database<br>Introduction to Progress OpenEdge Application Architecture<br>Introduction to Progress Application Server for OpenEdge for Developers<br>Introduction to Progress Developer Studio for OpenEdge<br>Introduction to Object-oriented Programming<br>Using ProDataSets<br>ABL Essentials<br>"
OpenEdge,Building a Modern REST Application in OpenEdge,Done,Intermediate,Developer," "
OpenEdge,Progress OpenEdge Database Administration,Done,Beginner,Administrator," "
OpenEdge,Access a REST service from an ABL application,Done,Intermediate,Developer," "
OpenEdge,ABL Performance Tuning,Planned,Advanced,Developer," "
OpenEdge,Introduction to Progress OpenEdge Integration,Done,Beginner,Developer," "
OpenEdge,Migrate to Progress Application Server for OpenEdge,Done,Intermediate,Administrator," "
OpenEdge,Get Started with Pro2,Done,Beginner,Administrator," "
OpenEdge,Modernize a Progress ABL Application,Planned,Advanced,Developer," "
Corticon,Get Started with Corticon.js Rules,Done,Beginner,Administrator," "
Kemp,Untitled course,Planned,Beginner,Administrator," "
